City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,fale old settlement,-9.3852,-171.2468,302.45,72,76,1.38,TK,1712098758
138,afaahiti,-17.75,-149.2833,302.08,76,62,8.01,PF,1712098758
139,utrik,11.2278,169.8474,299.87,76,100,7.42,MH,1712098758
140,konarka,19.9,86.1167,300.37,86,1,6.6,IN,1712098758
141,vorgashor,67.5833,63.95,253.1,88,84,7.63,RU,1712098749
142,nieuw amsterdam,5.8833,-55.0833,302.16,70,20,5.14,SR,1712098758
143,dolores,-36.3132,-57.6792,287.38,72,80,4.67,AR,1712098758
144,remire-montjoly,4.9167,-52.2667,301.17,83,75,3.09,GF,1712098758
145,howard springs,-12.497,131.047,300.3,96,79,3.74,AU,1712098758
146,queenstown,-31.8976,26.8753,285.83,92,48,1.16,ZA,1712098758
147,st. john's,47.5649,-52.7093,274.8,91,100,11.18,CA,1712098513
148,yelan',50.949,43.7378,285.37,60,97,6.41,RU,1712098557
149,jamestown,42.097,-79.2353,284.92,93,100,4.63,US,1712098527
150,alice springs,-23.7,133.8833,293.27,42,0,3.09,AU,1712098509
151,piacabucu,-10.4056,-36.4344,301.13,80,16,4.1,BR,1712098759
152,filadelfia,39.9523,-75.1638,281.77,96,100,6.17,US,1712098583
153,mudurnu,40.473,31.2076,287.98,40,66,1.49,TR,1712098759
154,acapulco de juarez,16.8634,-99.8901,302.05,65,0,5.66,MX,1712098078
155,silver city,32.7701,-108.2803,285.58,47,0,3.6,US,1712098581
156,tura,25.5198,90.2201,293.57,73,39,2.25,IN,1712098593
157,kabinda,-6.1333,24.4833,292.58,93,92,0.94,CD,1712098759
158,icano,-28.9193,-65.3282,292.18,73,22,5.24,AR,1712098759
159,tosya,41.0155,34.0401,289.86,42,100,1.42,TR,1712098759
160,kristiansund,63.1115,7.732,273.18,55,75,6.69,NO,1712098750
161,onokhoy,51.932,108.0747,260.01,72,1,0.96,RU,1712098760
162,fort bragg,35.139,-79.006,301.47,53,75,7.72,US,1712098604
163,ahtari,62.554,24.0619,270.88,90,100,5.15,FI,1712098760
164,la'ie,21.6477,-157.9253,302.13,71,88,3.58,US,1712098760
165,arish,31.1316,33.7984,290.25,88,0,1.03,EG,1712098760
166,zadar,44.1197,15.2422,282.49,81,20,2.06,HR,1712098560
167,mar del plata,-38.0023,-57.5575,291.41,67,0,16.54,AR,1712098630
168,wailua homesteads,22.0669,-159.378,298.59,70,75,7.72,US,1712098760
169,aasiaat,68.7098,-52.8699,263.59,91,87,1.93,GL,1712098760
170,kiunga,-6.1219,141.2906,299.26,92,92,0.41,PG,1712098760
171,whakatane,-37.9585,176.9854,293.58,95,94,2.24,NZ,1712098760
172,gwadar,25.1216,62.3254,297.86,69,100,2.31,PK,1712098760
173,xichang,27.8964,102.2634,288.36,62,64,1.49,CN,1712098761
174,santander,43.4647,-3.8044,288.41,67,40,1.03,ES,1712098761
175,dalandzadgad,43.5708,104.425,277.9,46,94,3.63,MN,1712098761
176,swift current,50.2834,-107.8014,287.6,35,0,7.2,CA,1712098761
177,carnarvon,-24.8667,113.6333,301.1,42,55,8.31,AU,1712098761
178,port lincoln,-34.7333,135.8667,289.41,70,97,3.0,AU,1712098761
179,amga,60.8953,131.9608,262.59,96,100,1.82,RU,1712098688
180,barra de santo antonio,-9.4047,-35.5072,300.75,82,96,2.88,BR,1712098761
181,constantia,44.1833,28.65,286.53,57,98,3.22,RO,1712098701
182,margaret river,-33.95,115.0667,282.97,88,1,4.51,AU,1712098524
183,severo-yeniseyskiy,60.3725,93.0408,266.25,96,99,1.79,RU,1712098761
184,whitehorse,60.7161,-135.0538,276.58,44,75,2.06,CA,1712098589
185,puerto colombia,10.9878,-74.9547,303.2,82,90,11.94,CO,1712098762
186,long,18.0761,99.8326,302.33,43,2,1.18,TH,1712098762
187,malvan,16.0667,73.4667,297.87,81,48,3.38,IN,1712098762
188,aral,40.5156,81.2636,283.0,36,18,2.92,CN,1712098762
189,potanino,55.1786,61.6222,282.28,81,0,7.0,RU,1712098762
190,hermanus,-34.4187,19.2345,287.48,83,59,4.12,ZA,1712098762
191,ocean shores,46.9737,-124.1563,285.9,93,100,7.2,US,1712098623
192,prince rupert,54.3161,-130.3201,281.2,66,20,9.77,CA,1712098508
193,qaqortoq,60.7167,-46.0333,265.59,86,0,1.71,GL,1712098762
194,georgetown,5.4112,100.3354,302.11,83,20,1.54,MY,1712098756
195,portland,45.5234,-122.6762,297.82,38,20,2.68,US,1712098722
196,guozhen,34.3659,107.359,286.09,60,100,1.18,CN,1712098762
197,son tay,21.1378,105.505,299.11,91,28,2.69,VN,1712098762
198,west island,-12.1568,96.8225,300.14,78,92,4.12,CC,1712098763
199,akureyri,65.6835,-18.0878,261.11,85,0,2.57,IS,1712098516
200,naracoorte,-36.9579,140.7383,287.87,74,98,2.43,AU,1712098763
201,kaa-khem,51.6833,94.7333,273.38,80,100,0.75,RU,1712098763
202,enewetak,11.3474,162.3373,299.94,82,86,9.88,MH,1712098763
203,cheremukhovo,60.3484,59.9851,279.8,94,100,4.47,RU,1712098763
204,gadzhiyevo,69.2551,33.3362,253.81,99,37,3.55,RU,1712098763
205,minas de marcona,-15.2119,-75.1103,291.93,72,82,4.78,PE,1712098763
206,olonkinbyen,70.9221,-8.7187,269.55,63,78,6.7,SJ,1712098763
207,basco,20.4487,121.9702,300.11,84,21,9.08,PH,1712098763
208,cabo san lucas,22.8909,-109.9124,297.93,56,24,3.8,MX,1712098557
209,viedma,-40.8135,-62.9967,295.13,44,100,12.19,AR,1712098504
210,la gi,10.6667,107.7833,298.48,86,86,2.84,VN,1712098763
211,macapa,0.0389,-51.0664,303.14,74,20,4.63,BR,1712098764
212,san antonio de pale,-1.4014,5.6325,301.91,75,80,2.31,GQ,1712098764
213,chibougamau,49.9168,-74.3659,275.94,41,0,4.63,CA,1712098468
214,yabucoa,18.0505,-65.8793,300.37,83,13,5.28,PR,1712098764
215,urmary,55.6789,47.944,280.82,90,95,5.44,RU,1712098764
216,karachi,24.9056,67.0822,298.05,73,91,3.6,PK,1712098518
217,tutoia,-2.7619,-42.2744,299.84,88,89,2.69,BR,1712098764
218,chui,-33.6971,-53.4616,288.5,75,27,2.59,UY,1712098578
219,isiolo,0.3546,37.5822,294.63,79,94,1.92,KE,1712098764
220,mugia,43.1041,-9.2179,287.54,90,25,9.26,ES,1712098764
221,olyokminsk,60.3736,120.4264,269.41,92,99,3.11,RU,1712098764
222,buka,40.8108,69.1986,284.48,70,100,1.18,UZ,1712098765
223,isabela,6.7085,121.9711,299.18,79,11,1.44,PH,1712098765
224,gorgoram,12.6398,10.7039,305.43,11,19,4.01,NG,1712098765
225,northam,51.0333,-4.2167,284.6,96,93,8.56,GB,1712098765
226,bahir dar,11.5936,37.3908,295.55,27,99,2.11,ET,1712098765
227,new norfolk,-42.7826,147.0587,284.77,68,58,1.36,AU,1712098765
228,aldan,58.6031,125.3894,267.99,95,100,2.2,RU,1712098765
229,manaure,11.7751,-72.4445,301.82,67,100,10.43,CO,1712098765
230,lamu,-2.2717,40.902,300.76,81,93,4.53,KE,1712098765
231,namibe,-15.1961,12.1522,296.59,75,29,3.34,AO,1712098765
232,saint-philippe,-21.3585,55.7679,297.92,83,94,6.98,RE,1712098765
233,magadan,59.5667,150.8,266.68,63,1,2.55,RU,1712098760
234,campo gallo,-26.5833,-62.85,292.39,89,95,0.52,AR,1712098766
235,shache,38.4167,77.2406,284.66,27,65,2.66,CN,1712098766
236,san patricio,28.017,-97.5169,304.09,27,0,7.8,US,1712098766
237,genhe,50.7833,121.5167,266.35,89,94,1.23,CN,1712098766
238,al artawiyah,26.5053,45.3444,293.94,21,62,3.56,SA,1712098766
239,acarau,-2.8856,-40.12,299.87,87,100,2.28,BR,1712098754
240,mercedes,-34.6515,-59.4307,291.28,69,46,4.65,AR,1712098766
241,necochea,-38.5473,-58.7368,291.42,47,100,6.46,AR,1712098615
242,kone,-21.0595,164.8658,302.13,57,7,2.24,NC,1712098766
243,pantay na matanda,14.1175,121.1211,300.73,82,32,2.98,PH,1712098766
244,morant bay,17.8815,-76.4093,302.94,70,100,3.97,JM,1712098767
245,balykshi,47.0667,51.8667,284.15,62,0,6.0,KZ,1712098521
246,elliot lake,46.3834,-82.6331,279.74,52,96,7.92,CA,1712098767
247,machico,32.7,-16.7667,290.77,78,40,2.57,PT,1712098767
248,westport,41.1415,-73.3579,280.98,89,100,7.72,US,1712098767
249,vilhena,-12.7406,-60.1458,300.27,74,20,2.06,BR,1712098322
250,tamboril,19.4854,-70.611,302.58,58,20,4.12,DO,1712098767
251,barcelos,41.5388,-8.6151,287.23,98,54,2.49,PT,1712098767
